Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical
,Seychelles,4/23/2020 08:44,11,0,5,0,0
,Nicaragua,4/23/2020 08:44,10,2,7,0,0
,Gambia,4/23/2020 08:44,10,1,2,316,0
,Suriname,4/23/2020 08:44,10,1,6,404,0
,MS Zaandam,4/23/2020 08:44,9,2,0,0,0
,Vatican City,4/23/2020 08:44,9,0,2,0,0
,Papua New Guinea,4/23/2020 08:44,8,0,0,604,0
,Mauritania,4/23/2020 08:44,7,1,6,969,0
,Bhutan,4/23/2020 08:44,6,0,2,8953,0
,St. Barth,4/23/2020 08:44,6,0,6,0,0
,Western Sahara,4/23/2020 08:44,6,0,0,0,0
,British Virgin Islands,4/23/2020 08:44,5,1,3,0,0
,Caribbean Netherlands,4/23/2020 08:44,5,0,0,110,0
,Sao Tome and Principe,4/23/2020 08:44,4,0,0,19,0
,South Sudan,4/23/2020 08:44,4,0,0,0,0
,Anguilla,4/23/2020 08:44,3,0,1,0,0
,Saint Pierre Miquelon,4/23/2020 08:44,1,0,0,0,0
,Yemen,4/23/2020 08:44,1,0,0,0,0
,Mainland China,4/23/2020 08:44,0,0,0,0,78
,Australia,4/23/2020 08:44,0,0,0,0,47
