Suburb,Postcode,Population,Age,Suburb_name_geojson,Unit_buy/M,Unit_rent,House_rent,House_buy/M,id
whale-beach,2107,0,,WHALE BEACH,,,1280.0,3.65,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2119
wheeler-heights,2097,0,,WHEELER HEIGHTS,,528.0,860.0,1.43,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3424
wheeny-creek,2758,20,40 to 59,WHEENY CREEK,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1480
wilberforce,2756,3001,40 to 59,WILBERFORCE,,,455.0,0.82,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4037
wiley-park,2195,10127,20 to 39,WILEY PARK,0.38,350.0,500.0,0.74,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4011
willmot,2770,2445,5 to 19,WILLMOT,,,310.0,0.4,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2834
willoughby-east,2068,1818,40 to 59,WILLOUGHBY EAST,,,1063.2543220223704,2.51,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2905
willoughby,2068,6542,40 to 59,WILLOUGHBY,0.92,540.0,945.0,2.12,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4104
windsor-downs,2756,1183,40 to 59,WINDSOR DOWNS,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2161
windsor,2756,1900,40 to 59,WINDSOR,0.41,295.0,400.0,0.65,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1203
winston-hills,2153,11694,40 to 59,WINSTON HILLS,0.67,475.0,550.0,0.94,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3985
wisemans-ferry,2775,229,40 to 59,WISEMANS FERRY,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.672
wolli-creek,2205,6387,20 to 39,WOLLI CREEK,0.72,600.0,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4279
wollstonecraft,2065,8323,20 to 39,WOLLSTONECRAFT,1.01,600.0,1200.0,2.94,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.5
womerah,2756,0,60+,WOMERAH,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1335
woodbine,2560,2750,20 to 39,WOODBINE,,,380.0,0.63,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1511
woodcroft,2767,6448,20 to 39,WOODCROFT,,530.0,480.0,0.65,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3110
woodpark,2164,1519,20 to 39,WOODPARK,,,578.0,0.69,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.73
woollahra,2025,7414,20 to 39,WOOLLAHRA,1.18,690.0,1450.0,3.1,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3761
woolloomooloo,2011,4014,20 to 39,WOOLLOOMOOLOO,1.15,650.0,755.0,1.54,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4282
woolooware,2230,3967,40 to 59,WOOLOOWARE,0.67,515.0,850.0,1.56,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1208
woolwich,2110,814,60+,WOOLWICH,,450.0,1714.9658122495005,4.57,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.53
woronora,2232,2193,40 to 59,WORONORA,,,650.0,1.16,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4572
woronora-dam,2508,0,60+,WORONORA DAM,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.391
woronora-heights,2233,2870,40 to 59,WORONORA HEIGHTS,,,601.6174444956416,1.05,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3605
wrights-creek,2775,19,40 to 59,WRIGHTS CREEK,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.401
yagoona,2199,18014,20 to 39,YAGOONA,0.5,430.0,500.0,0.8,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.573
yarramundi,2753,828,40 to 59,YARRAMUNDI,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1468
yarrawarrah,2233,2726,40 to 59,YARRAWARRAH,,,588.6211600471531,1.01,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3705
yennora,2161,1616,60+,YENNORA,,440.0,400.0,0.41,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1186
yowie-bay,2228,3095,40 to 59,YOWIE BAY,,,820.0,1.67,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1620
zetland,2017,10071,20 to 39,ZETLAND,0.88,735.0,978.0,1.32,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.420
