Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,Population,lat,lon
,Cuba,04/01/2020 04:30,186,6,8,2020-04-01 20:30:00,172,11480000,23.013133800000002,-80.8328748
,Ivory Coast,04/01/2020 04:30,179,1,7,2020-04-01 20:30:00,171,25717000,7.9897371,-5.5679457999999995
,Senegal,04/01/2020 04:30,175,1,40,2020-04-01 20:30:00,134,15850000,14.475060699999998,-14.452961199999999
,Uzbekistan,04/01/2020 04:30,173,2,8,2020-04-01 20:30:00,163,32390000,41.32373,63.9528098
,Faeroe Islands,04/01/2020 04:30,173,0,75,2020-04-01 20:30:00,98,49290,62.19850039999999,-6.817412400000001
,Honduras,04/01/2020 04:30,172,10,3,2020-04-01 20:30:00,159,9265000,15.2572432,-86.0755145
,Malta,04/01/2020 04:30,169,0,2,2020-04-01 20:30:00,167,493559,35.888599299999996,14.4476911
,Belarus,04/01/2020 04:30,163,1,53,2020-04-01 20:30:00,109,9508000,53.4250605,27.6971358
,Ghana,04/01/2020 04:30,161,5,31,2020-04-01 20:30:00,125,28830000,8.0300284,-1.0800271000000001
,Channel Islands,04/01/2020 04:30,159,3,0,2020-04-01 20:30:00,156,170499,49.4622912,-2.5812022999999997
,Mauritius,04/01/2020 04:30,147,5,0,2020-04-01 20:30:00,142,1265000,-20.2759451,57.5703566
,Venezuela,04/01/2020 04:30,143,3,41,2020-04-01 20:30:00,99,31980000,8.0018709,-66.1109318
,Sri Lanka,04/01/2020 04:30,143,2,18,2020-04-01 20:30:00,123,21440000,7.555494199999999,80.7137847
,Nigeria,04/01/2020 04:30,139,2,9,2020-04-01 20:30:00,128,190900000,9.6000359,7.999972099999999
,Palestine,04/01/2020 04:30,134,1,18,2020-04-01 20:30:00,115,5052000,31.9469665,35.2738655
,Brunei,04/01/2020 04:30,129,1,45,2020-04-01 20:30:00,83,428697,4.4137154999999995,114.5653908
,Martinique,04/01/2020 04:30,128,3,27,2020-04-01 20:30:00,98,376480,14.636792699999999,-61.0158269
,Montenegro,04/01/2020 04:30,120,2,0,2020-04-01 20:30:00,118,631219,42.9868853,19.518099199999998
,Bolivia,04/01/2020 04:30,115,7,1,2020-04-01 20:30:00,107,11050000,-17.056869600000002,-64.9912286
,Georgia,04/01/2020 04:30,115,0,22,2020-04-01 20:30:00,93,3717000,41.6809707,44.02873820000001
,Guadeloupe,04/01/2020 04:30,114,4,22,2020-04-01 20:30:00,88,395700,16.2490067,-61.565044400000005
,Kyrgyzstan,04/01/2020 04:30,111,0,3,2020-04-01 20:30:00,108,6202000,41.5089324,74.724091
,Cambodia,04/01/2020 04:30,109,0,25,2020-04-01 20:30:00,84,16010000,13.5066394,104.869423
,DRC,04/01/2020 04:30,98,8,2,2020-04-01 20:30:00,88,81340000,-4.0324900999999995,22.4574787
,Mayotte,04/01/2020 04:30,94,1,10,2020-04-01 20:30:00,83,270372,-12.823048,45.1520755
,Trinidad and Tobago,04/01/2020 04:30,89,4,1,2020-04-01 20:30:00,84,1369000,10.8677845,-60.9821067
,Rwanda,04/01/2020 04:30,75,0,0,2020-04-01 20:30:00,75,12210000,-1.9646631,30.064435800000002
,Paraguay,04/01/2020 04:30,69,3,1,2020-04-01 20:30:00,65,6811000,-23.3165935,-58.169344499999994
,Gibraltar,04/01/2020 04:30,69,0,34,2020-04-01 20:30:00,35,34571,36.106747,-5.3352772
,Liechtenstein,04/01/2020 04:30,68,0,0,2020-04-01 20:30:00,68,38557,47.1416307,9.553152699999998
,Isle of Man,04/01/2020 04:30,65,0,0,2020-04-01 20:30:00,65,84287,54.2358167,-4.5145987000000005
,Kenya,04/01/2020 04:30,59,1,1,2020-04-01 20:30:00,57,49700000,1.4419683,38.431397499999996
,Madagascar,04/01/2020 04:30,57,0,0,2020-04-01 20:30:00,57,25570000,-18.9249604,46.441642200000004
,Aruba,04/01/2020 04:30,55,0,1,2020-04-01 20:30:00,54,105264,12.4902998,-69.96098420000001
,Bangladesh,04/01/2020 04:30,54,6,25,2020-04-01 20:30:00,23,164700000,24.4768598,90.29322990000001
,Monaco,04/01/2020 04:30,52,1,2,2020-04-01 20:30:00,49,38695,43.7384402,7.4242474000000005
,French Guiana,04/01/2020 04:30,51,0,15,2020-04-01 20:30:00,36,290691,4.0039882,-52.999998
,Uganda,04/01/2020 04:30,44,0,0,2020-04-01 20:30:00,44,42860000,1.5333553999999998,32.2166578
