Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical,Date_last_updated_AEDT,Remaining,Population,lat,lon,Continent,World
,Hungary,04/21/2020 07:00,2098,213,287,50052,82,2020-04-21 22:00:00,1598,9773000.0,47.1817585,19.5060937,Europe,Worldwide
,Kuwait,04/21/2020 07:00,2080,11,412,0,46,2020-04-21 22:00:00,1657,4137000.0,29.2733964,47.4979476,Asia,Worldwide
,Kazakhstan,04/21/2020 07:00,1967,19,452,126727,22,2020-04-21 22:00:00,1496,18040000.0,47.2286086,65.20931970000001,Asia,Worldwide
,Bahrain,04/21/2020 07:00,1952,7,783,93858,2,2020-04-21 22:00:00,1162,1493000.0,26.155124899999997,50.5344606,Asia,Worldwide
,Croatia,04/21/2020 07:00,1881,47,771,26610,18,2020-04-21 22:00:00,1063,4067000.0,45.5643442,17.0118954,Europe,Worldwide
,Iceland,04/21/2020 07:00,1773,10,1362,43143,4,2020-04-21 22:00:00,401,364260.0,64.9841821,-18.1059013,Europe,Worldwide
,Uzbekistan,04/21/2020 07:00,1657,5,261,150000,8,2020-04-21 22:00:00,1391,32390000.0,41.32373,63.9528098,Asia,Worldwide
,Iraq,04/21/2020 07:00,1574,82,1043,59055,0,2020-04-21 22:00:00,449,38270000.0,33.0955793,44.174977500000004,Asia,Worldwide
,Estonia,04/21/2020 07:00,1552,43,169,42213,9,2020-04-21 22:00:00,1340,1328000.0,58.75237779999999,25.3319078,Europe,Worldwide
,Oman,04/21/2020 07:00,1508,8,238,0,3,2020-04-21 22:00:00,1262,4636000.0,21.000028699999998,57.00369010000001,Asia,Worldwide
,New Zealand,04/21/2020 07:00,1445,13,1006,89508,3,2020-04-21 22:00:00,426,4794000.0,-41.5000831,172.83440769999999,Oceania,Worldwide
,Azerbaijan,04/21/2020 07:00,1436,19,791,95747,16,2020-04-21 22:00:00,626,9898000.0,40.3936294,47.787250799999995,Asia,Worldwide
,Armenia,04/21/2020 07:00,1401,24,609,13929,30,2020-04-21 22:00:00,768,2973000.0,40.7696272,44.6736646,Asia,Worldwide
,Lithuania,04/21/2020 07:00,1350,37,298,70753,17,2020-04-21 22:00:00,1015,2794000.0,55.350000300000005,23.7499997,Europe,Worldwide
,Bosnia and Herzegovina,04/21/2020 07:00,1342,51,437,19195,4,2020-04-21 22:00:00,854,3507000.0,44.305347600000005,17.596146700000002,Europe,Worldwide
