Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,Population,lat,lon,Continent,World
,South Africa,04/16/2020 07:00,2506,34,410,2020-04-16 22:00:00,2062,56720000,-28.816623600000003,24.991639000000003,Africa,Worldwide
,Egypt,04/16/2020 07:00,2505,183,589,2020-04-16 22:00:00,1733,97550000,26.254049300000002,29.2675469,Africa,Worldwide
,Morocco,04/16/2020 07:00,2251,128,247,2020-04-16 22:00:00,1876,35740000,31.1728205,-7.3362482,Africa,Worldwide
,Greece,04/16/2020 07:00,2192,102,269,2020-04-16 22:00:00,1821,10740000,38.995368299999996,21.987713199999998,Europe,Worldwide
,Algeria,04/16/2020 07:00,2160,336,708,2020-04-16 22:00:00,1116,41320000,28.000027199999998,2.9999825,Africa,Worldwide
,Moldova,04/16/2020 07:00,2049,51,235,2020-04-16 22:00:00,1763,3550000,47.28796079999999,28.5670941,Europe,Worldwide
,Croatia,04/16/2020 07:00,1741,33,473,2020-04-16 22:00:00,1235,4067000,45.5643442,17.0118954,Europe,Worldwide
,Iceland,04/16/2020 07:00,1727,8,1077,2020-04-16 22:00:00,642,364260,64.9841821,-18.1059013,Europe,Worldwide
,Bahrain,04/16/2020 07:00,1698,7,703,2020-04-16 22:00:00,988,1493000,26.155124899999997,50.5344606,Asia,Worldwide
,Hungary,04/16/2020 07:00,1652,142,199,2020-04-16 22:00:00,1311,9773000,47.1817585,19.5060937,Europe,Worldwide
,Bangladesh,04/16/2020 07:00,1572,60,49,2020-04-16 22:00:00,1463,164700000,24.4768598,90.29322990000001,Asia,Worldwide
,Kuwait,04/16/2020 07:00,1524,3,225,2020-04-16 22:00:00,1296,4137000,29.2733964,47.4979476,Asia,Worldwide
,Estonia,04/16/2020 07:00,1434,36,133,2020-04-16 22:00:00,1265,1328000,58.75237779999999,25.3319078,Europe,Worldwide
,Iraq,04/16/2020 07:00,1415,79,812,2020-04-16 22:00:00,524,38270000,33.0955793,44.174977500000004,Asia,Worldwide
,New Zealand,04/16/2020 07:00,1401,9,770,2020-04-16 22:00:00,622,4794000,-41.5000831,172.83440769999999,Oceania,Worldwide
,Kazakhstan,04/16/2020 07:00,1362,17,273,2020-04-16 22:00:00,1072,18040000,47.2286086,65.20931970000001,Asia,Worldwide
,Uzbekistan,04/16/2020 07:00,1349,4,107,2020-04-16 22:00:00,1238,32390000,41.32373,63.9528098,Asia,Worldwide
,Slovenia,04/16/2020 07:00,1268,61,174,2020-04-16 22:00:00,1033,2067000,45.813311299999995,14.4808369,Europe,Worldwide
,Azerbaijan,04/16/2020 07:00,1253,13,404,2020-04-16 22:00:00,836,9898000,40.3936294,47.787250799999995,Asia,Worldwide
,Bosnia and Herzegovina,04/16/2020 07:00,1167,43,277,2020-04-16 22:00:00,847,3507000,44.305347600000005,17.596146700000002,Europe,Worldwide
,Armenia,04/16/2020 07:00,1159,18,358,2020-04-16 22:00:00,783,2973000,40.7696272,44.6736646,Asia,Worldwide
,Lithuania,04/16/2020 07:00,1128,30,178,2020-04-16 22:00:00,920,2794000,55.350000300000005,23.7499997,Europe,Worldwide
,Oman,04/16/2020 07:00,1019,4,176,2020-04-16 22:00:00,839,4636000,21.000028699999998,57.00369010000001,Asia,Worldwide
Hong Kong,Hong Kong,04/16/2020 07:00,1018,4,485,2020-04-16 22:00:00,529,7392000,22.2793278,114.16281310000001,Asia,Worldwide
,Slovakia,04/16/2020 07:00,977,8,167,2020-04-16 22:00:00,802,5450000,48.74115220000001,19.4528646,Europe,Worldwide
,North Macedonia,04/16/2020 07:00,974,45,98,2020-04-16 22:00:00,831,2077000,41.617121399999995,21.7168387,Europe,Worldwide
,Cameroon,04/16/2020 07:00,848,17,165,2020-04-16 22:00:00,666,24050000,4.6125522000000005,13.153581099999998,Africa,Worldwide
,Afghanistan,04/16/2020 07:00,840,30,54,2020-04-16 22:00:00,756,35530000,33.7680065,66.2385139,Asia,Worldwide
,Cuba,04/16/2020 07:00,814,24,151,2020-04-16 22:00:00,639,11480000,23.013133800000002,-80.8328748,North America,Worldwide
,Bulgaria,04/16/2020 07:00,783,37,122,2020-04-16 22:00:00,624,7050000,42.6073975,25.4856617,Europe,Worldwide
,Tunisia,04/16/2020 07:00,780,35,43,2020-04-16 22:00:00,702,11530000,33.8439408,9.400138,Africa,Worldwide
,Cyprus,04/16/2020 07:00,715,12,65,2020-04-16 22:00:00,638,1170000,34.982301799999995,33.1451285,Europe,Worldwide
Yokohama,Japan,04/16/2020 07:00,712,12,644,2020-04-16 22:00:00,56,3700,35.444990999999995,139.636768,Asia,Worldwide
,Latvia,04/16/2020 07:00,675,5,57,2020-04-16 22:00:00,613,1920000,56.8406494,24.7537645,Europe,Worldwide
,Andorra,04/16/2020 07:00,673,33,169,2020-04-16 22:00:00,471,76965,42.540716700000004,1.5732033,Europe,Worldwide
,Lebanon,04/16/2020 07:00,663,21,85,2020-04-16 22:00:00,557,6082000,33.875062899999996,35.843409,Asia,Worldwide
,Ivory Coast,04/16/2020 07:00,654,6,146,2020-04-16 22:00:00,502,25717000,7.9897371,-5.5679457999999995,Africa,Worldwide
,Ghana,04/16/2020 07:00,641,8,83,2020-04-16 22:00:00,550,28830000,8.0300284,-1.0800271000000001,Africa,Worldwide
,Costa Rica,04/16/2020 07:00,626,4,67,2020-04-16 22:00:00,555,4906000,10.2735633,-84.0739102,North America,Worldwide
,Niger,04/16/2020 07:00,584,14,90,2020-04-16 22:00:00,480,21480000,17.7356214,9.323843199999999,Africa,Worldwide
,Burkina Faso,04/16/2020 07:00,542,32,226,2020-04-16 22:00:00,284,19190000,12.075308300000001,-1.6880313999999998,Africa,Worldwide
,Albania,04/16/2020 07:00,518,26,277,2020-04-16 22:00:00,215,2877000,41.000028,19.9999619,Europe,Worldwide
,Uruguay,04/16/2020 07:00,493,9,272,2020-04-16 22:00:00,212,3457000,-32.8755548,-56.0201525,South America,Worldwide
,Kyrgyzstan,04/16/2020 07:00,466,5,91,2020-04-16 22:00:00,370,6202000,41.5089324,74.724091,Asia,Worldwide
,Channel Islands,04/16/2020 07:00,447,15,69,2020-04-16 22:00:00,363,170499,49.4622912,-2.5812022999999997,Europe,Worldwide
