Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,lat,lon
,Cameroon,03/19/2020 23:30,13,0,0,2020-03-20 15:30:00,13,4.6125522000000005,13.153581099999998
,Maldives,03/19/2020 23:30,13,0,0,2020-03-20 15:30:00,13,4.7064352,73.3287853
,Montenegro,03/19/2020 23:30,13,0,0,2020-03-20 15:30:00,13,42.9868853,19.518099199999998
,Paraguay,03/19/2020 23:30,13,0,0,2020-03-20 15:30:00,13,-23.3165935,-58.1693445
,Nigeria,03/19/2020 23:30,12,0,1,2020-03-20 15:30:00,11,9.6000359,7.999972099999999
,Guam,03/19/2020 23:30,12,0,0,2020-03-20 15:30:00,12,13.4501257,144.757551
,Channel Islands,03/19/2020 23:30,11,0,0,2020-03-20 15:30:00,11,49.4622912,-2.5812023
,Ghana,03/19/2020 23:30,11,0,0,2020-03-20 15:30:00,11,8.0300284,-1.0800271
,Rwanda,03/19/2020 23:30,11,0,0,2020-03-20 15:30:00,11,-1.9646631,30.0644358
,Monaco,03/19/2020 23:30,10,0,0,2020-03-20 15:30:00,10,43.7384402,7.4242474
,Gibraltar,03/19/2020 23:30,10,0,2,2020-03-20 15:30:00,8,36.106747,-5.3352772
,Guatemala,03/19/2020 23:30,9,1,0,2020-03-20 15:30:00,8,15.635608800000002,-89.8988087
,Ivory Coast,03/19/2020 23:30,9,0,1,2020-03-20 15:30:00,8,7.9897371,-5.5679458
,Ethiopia,03/19/2020 23:30,9,0,0,2020-03-20 15:30:00,9,10.2116702,38.6521203
,Trinidad and Tobago,03/19/2020 23:30,9,0,0,2020-03-20 15:30:00,9,10.8677845,-60.9821067
,Kenya,03/19/2020 23:30,7,0,0,2020-03-20 15:30:00,7,1.4419683,38.4313975
,Mauritius,03/19/2020 23:30,7,0,0,2020-03-20 15:30:00,7,-20.2759451,57.5703566
,Equatorial Guinea,03/19/2020 23:30,6,0,0,2020-03-20 15:30:00,6,1.6131719999999998,10.5170357
,French Polynesia,03/19/2020 23:30,6,0,0,2020-03-20 15:30:00,6,-16.0344249,-146.0490931
,Kyrgyzstan,03/19/2020 23:30,6,0,0,2020-03-20 15:30:00,6,41.5089324,74.724091
,Mongolia,03/19/2020 23:30,6,0,0,2020-03-20 15:30:00,6,46.8250388,103.8499736
,Puerto Rico,03/19/2020 23:30,6,0,0,2020-03-20 15:30:00,6,18.2214149,-66.4132818
,Seychelles,03/19/2020 23:30,6,0,0,2020-03-20 15:30:00,6,-4.6574977,55.45401460000001
,Tanzania,03/19/2020 23:30,6,0,0,2020-03-20 15:30:00,6,-6.5247123,35.7878438
,Guyana,03/19/2020 23:30,5,1,0,2020-03-20 15:30:00,4,4.8417097,-58.64168910000001
,Aruba,03/19/2020 23:30,5,0,1,2020-03-20 15:30:00,4,12.4902998,-69.96098420000001
,Barbados,03/19/2020 23:30,5,0,0,2020-03-20 15:30:00,5,13.1500331,-59.52503050000001
,Mayotte,03/19/2020 23:30,4,0,0,2020-03-20 15:30:00,4,-12.823048,45.1520755
,Cayman Islands,03/19/2020 23:30,3,1,0,2020-03-20 15:30:00,2,19.5417212,-80.5667132
,Curacao,03/19/2020 23:30,3,1,0,2020-03-20 15:30:00,2,12.1845,-68.9640875
,Bahamas,03/19/2020 23:30,3,0,0,2020-03-20 15:30:00,3,24.7736546,-78.0000547
,Congo,03/19/2020 23:30,3,0,0,2020-03-20 15:30:00,3,-0.7264326999999999,15.6419155
,Gabon,03/19/2020 23:30,3,0,0,2020-03-20 15:30:00,3,-0.8999695,11.6899699
,Namibia,03/19/2020 23:30,3,0,0,2020-03-20 15:30:00,3,-23.2335499,17.323110699999994
,St. Barth,03/19/2020 23:30,3,0,0,2020-03-20 15:30:00,3,17.9036287,-62.8115688
